Date,Location,Driver,Vehicle,Power,Speed Speed Over 1 km (mph),Speed Over 1 km (km/h),Speed Over 1 mile (mph),Speed Over 1 mile (km/h),Comments
"September 16, 1947","Bonneville Salt Flats, United States",John Cobb,Railton Mobil Special,"Internal combustion:2 × 23.9 L (1,460 cu in) W12 Napier Lion supercharged aero engines",394.196,634.397,394.19,634.39,First single pass at over 400 mph (402 mph)
"August 5, 1963","Bonneville Salt Flats, United States",Craig Breedlove,Spirit of America,Turbojet,,,407.447,655.722,[8][37] Initially considered unofficial since the vehicle had 3 wheels. Later ratified by FIM.
"October 2, 1964","Bonneville Salt Flats, United States",Tom Green,Wingfoot Express,Turbojet,,,413.2,665,[8]
"October 5, 1964","Bonneville Salt Flats, United States",Art Arfons,Green Monster,Turbojet,,,434.03,698.5,[8]
"October 13, 1964","Bonneville Salt Flats, United States",Craig Breedlove,Spirit of America,Turbojet,,,468.719,754.33,[23]
"October 15, 1964","Bonneville Salt Flats, United States",Craig Breedlove,Spirit of America,Turbojet,,,526.277,846.961,[23]
"October 27, 1964","Bonneville Salt Flats, United States",Art Arfons,Green Monster,Turbojet,,,536.71,863.751,[23]
"November 2, 1965","Bonneville Salt Flats, United States",Craig Breedlove,Spirit of America – Sonic 1,Turbojet,555.485,893.966,555.485,893.966,[40]
"November 7, 1965","Bonneville Salt Flats, United States",Art Arfons,Green Monster,Turbojet,576.553,927.872,576.553,927.872,[23]
"November 15, 1965","Bonneville Salt Flats, United States",Craig Breedlove,Spirit of America – Sonic 1,Turbojet,594,955.95,600.601,966.574,[41]
"October 23, 1970","Bonneville Salt Flats, United States",Gary Gabelich,Blue Flame,Rocket,630.478,1014.656,622.407,1001.667,[42]
"October 4, 1983","Black Rock Desert, United States",Richard Noble,Thrust2,Turbojet: 1 × Rolls-Royce Avon,634.051,1020.406,633.47,1019.47,[42]
"September 25, 1997","Black Rock Desert, United States",Andy Green,ThrustSSC,Turbofan: 2 × Rolls-Royce Spey,713.99,1149.055,714.144,1149.303,[42]
"October 15, 1997","Black Rock Desert, United States",Andy Green,ThrustSSC,Turbofan: 2 × Rolls-Royce Spey,760.343,1223.657,763.035,1227.986, [43] First to break the speed of sound
